project,issuekey,issuetype,from_flow_id,to_flow_id,cycle,rolling_cycle
BBSDEV,BBSDEV-16528,Task,4010014,5000001,26.0,227.0
BBSDEV,BBSDEV-16528,Task,5000001,6010014,0.0,227.0
BBSDEV,BBSDEV-16528,Task,6010014,7010003,0.0,227.0
BBSDEV,BBSDEV-16528,Task,7010003,8010006,0.0,227.0
BBSDEV,BBSDEV-16528,Task,8010006,9000001,0.0,227.0
BBSDEV,BBSDEV-16528,Task,9000001,10010014,2.0,229.0
BBSDEV,BBSDEV-16528,Task,10010014,11010003,3.0,232.0
BBSDEV,BBSDEV-16528,Task,11010003,12000006,,232.0
BBSDEV,BBSDEV-16533,Task,,1000001,17.0,17.0
BBSDEV,BBSDEV-16533,Task,1000001,2010006,1.0,18.0
BBSDEV,BBSDEV-16533,Task,2010006,3000001,,18.0
BBSDEV,BBSDEV-16534,Bug,,1015900,0.0,0.0
BBSDEV,BBSDEV-16534,Bug,1015900,2000001,0.0,0.0
BBSDEV,BBSDEV-16534,Bug,2000001,3010014,0.0,0.0
BBSDEV,BBSDEV-16534,Bug,3010014,4010003,3.0,3.0
BBSDEV,BBSDEV-16534,Bug,4010003,5000006,,3.0
BBSDEV,BBSDEV-16535,Improvement,,1000001,1.0,1.0
BBSDEV,BBSDEV-16535,Improvement,1000001,2010014,0.0,1.0
BBSDEV,BBSDEV-16535,Improvement,2010014,3010003,2.0,3.0
BBSDEV,BBSDEV-16535,Improvement,3010003,4000006,,3.0
BBSDEV,BBSDEV-16536,Improvement,,1000001,14.0,14.0
BBSDEV,BBSDEV-16536,Improvement,1000001,2010014,0.0,14.0
BBSDEV,BBSDEV-16536,Improvement,2010014,3010006,0.0,14.0
BBSDEV,BBSDEV-16536,Improvement,3010006,4000001,0.0,14.0
BBSDEV,BBSDEV-16536,Improvement,4000001,5010014,14.0,28.0
BBSDEV,BBSDEV-16536,Improvement,5010014,6000006,,28.0
BBSDEV,BBSDEV-16537,Task,,1000001,8.0,8.0
BBSDEV,BBSDEV-16537,Task,1000001,2010014,5.0,13.0
BBSDEV,BBSDEV-16537,Task,2010014,3010006,1.0,14.0
BBSDEV,BBSDEV-16537,Task,3010006,4000001,0.0,14.0
BBSDEV,BBSDEV-16537,Task,4000001,5010014,0.0,14.0
BBSDEV,BBSDEV-16537,Task,5010014,6010003,1.0,15.0
BBSDEV,BBSDEV-16537,Task,6010003,7012101,24.0,39.0
BBSDEV,BBSDEV-16537,Task,7012101,8000006,,39.0
BBSDEV,BBSDEV-16541,Task,,1000001,8.0,8.0
BBSDEV,BBSDEV-16541,Task,1000001,2010014,0.0,8.0
BBSDEV,BBSDEV-16541,Task,2010014,3010003,0.0,8.0
BBSDEV,BBSDEV-16541,Task,3010003,4000006,,8.0
BBSDEV,BBSDEV-16542,Task,,1000001,42.0,42.0
BBSDEV,BBSDEV-16542,Task,1000001,2010014,2.0,44.0
BBSDEV,BBSDEV-16542,Task,2010014,3010003,4.0,48.0
BBSDEV,BBSDEV-16542,Task,3010003,4012101,5.0,53.0
BBSDEV,BBSDEV-16542,Task,4012101,5000006,,53.0
BBSDEV,BBSDEV-16543,Task,,1000001,113.0,113.0
BBSDEV,BBSDEV-16543,Task,1000001,2010014,0.0,113.0
BBSDEV,BBSDEV-16543,Task,2010014,3010003,0.0,113.0
BBSDEV,BBSDEV-16543,Task,3010003,4000006,,113.0
BBSDEV,BBSDEV-16545,Task,,1000001,219.0,219.0
BBSDEV,BBSDEV-16545,Task,1000001,2010014,3.0,222.0
BBSDEV,BBSDEV-16545,Task,2010014,3010003,2.0,224.0
BBSDEV,BBSDEV-16545,Task,3010003,4012101,6.0,230.0
