project,issuekey,issuetype,rnk,status,leading_status,lagging_status,category,leading_category,lagging_category,created,started,finished,cycle,rolling_cycle
BBSDEV,BBSDEV-16264,Task,5,Closed,Code review,,Done,Doing,,2017-10-25 12:24:00,2017-12-11 08:51:47.479,,,46.0
BBSDEV,BBSDEV-16266,Task,1,Open,,In progress,ToDo,,Doing,2017-10-25 12:54:00,2017-10-25 12:54:00,2017-12-05 14:09:08.854,41.0,41.0
BBSDEV,BBSDEV-16266,Task,2,In progress,Open,Code review,Doing,ToDo,Doing,2017-10-25 12:54:00,2017-12-05 14:09:08.854,2017-12-10 19:23:47.777,5.0,46.0
BBSDEV,BBSDEV-16266,Task,3,Code review,In progress,Quality Review,Doing,Doing,Doing,2017-10-25 12:54:00,2017-12-10 19:23:47.777,2017-12-14 23:31:37.763,4.0,50.0
BBSDEV,BBSDEV-16266,Task,4,Quality Review,Code review,Closed,Doing,Doing,Done,2017-10-25 12:54:00,2017-12-14 23:31:37.763,2017-12-16 15:47:48.543,1.0,51.0
BBSDEV,BBSDEV-16266,Task,5,Closed,Quality Review,,Done,Doing,,2017-10-25 12:54:00,2017-12-16 15:47:48.543,,,51.0
BBSDEV,BBSDEV-16269,Task,1,Open,,In progress,ToDo,,Doing,2017-10-25 13:11:00,2017-10-25 13:11:00,2017-12-11 13:47:32.392,47.0,47.0
BBSDEV,BBSDEV-16269,Task,2,In progress,Open,Code review,Doing,ToDo,Doing,2017-10-25 13:11:00,2017-12-11 13:47:32.392,2017-12-12 12:15:03.770,0.0,47.0
BBSDEV,BBSDEV-16269,Task,3,Code review,In progress,Quality Review,Doing,Doing,Doing,2017-10-25 13:11:00,2017-12-12 12:15:03.770,2017-12-12 16:23:11.436,0.0,47.0
BBSDEV,BBSDEV-16269,Task,4,Quality Review,Code review,Closed,Doing,Doing,Done,2017-10-25 13:11:00,2017-12-12 16:23:11.436,2017-12-16 15:48:05.808,3.0,50.0
BBSDEV,BBSDEV-16269,Task,5,Closed,Quality Review,,Done,Doing,,2017-10-25 13:11:00,2017-12-16 15:48:05.808,,,50.0
BBSDEV,BBSDEV-16278,Task,1,Triage,,Open,ToDo,,ToDo,2017-10-27 03:09:00,2017-10-27 03:09:00,2017-12-08 04:35:39.129,42.0,42.0
BBSDEV,BBSDEV-16278,Task,2,Open,Triage,In progress,ToDo,ToDo,Doing,2017-10-27 03:09:00,2017-12-08 04:35:39.129,2017-12-08 04:35:51.130,0.0,42.0
BBSDEV,BBSDEV-16278,Task,3,In progress,Open,Code review,Doing,ToDo,Doing,2017-10-27 03:09:00,2017-12-08 04:35:51.130,2017-12-08 04:35:53.126,0.0,42.0
BBSDEV,BBSDEV-16278,Task,4,Code review,In progress,Closed,Doing,Doing,Done,2017-10-27 03:09:00,2017-12-08 04:35:53.126,2017-12-11 04:03:02.681,2.0,44.0
BBSDEV,BBSDEV-16278,Task,5,Closed,Code review,,Done,Doing,,2017-10-27 03:09:00,2017-12-11 04:03:02.681,,,44.0
